ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5546.3266       360.1361         0.0000         0.0000       939.8294          -4246.3611       298.5756     -5186.1905     -4243.8278       298.1543           -617.6008      -589.3216     22802.3568      -264.5667      -264.4928
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5546.4897       408.4992         0.0000         0.0000       935.8512          -4202.1393       297.3117     -5137.9905     -4200.3771       301.5311           -169.0995      -147.1445     23162.6645      -177.5360      -177.4351
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5571.4278       369.8586         0.0000         0.0000       948.6908          -4252.8784       301.3907     -5201.5692     -4250.9222       301.4580           -466.1053      -447.0880     22737.7506      -164.2079      -164.2403
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5642.1352       429.6007         0.0000         0.0000       939.6906          -4272.8439       298.5314     -5212.5345     -4269.3192       299.8298             41.3785        67.0685     22682.7426      -179.8957      -179.9139
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5675.0011       402.2182         0.0000         0.0000       929.7800          -4343.0028       295.3829     -5272.7829     -4341.3927       300.0966             71.4399        82.5847     22354.0216      -237.9624      -237.8909
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5636.7556       422.1656         0.0000         0.0000       966.8924          -4247.6977       307.1732     -5214.5901     -4244.5680       295.0243           -191.9907      -166.7035     22741.0223      -176.2216      -176.0371
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5607.3813       372.1162         0.0000         0.0000       975.3136          -4259.9514       309.8486     -5235.2651     -4257.0550       303.0487           -222.5364      -207.8813     22483.2044      -193.2250      -193.2175
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5570.9939       385.7282         0.0000         0.0000       925.1309          -4260.1348       293.9060     -5185.2657     -4257.6705       300.5646            -30.3747        -5.8354     22639.6843      -254.2447      -254.3072
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5568.6663       367.8774         0.0000         0.0000       947.3763          -4253.4126       300.9731     -5200.7889     -4249.9857       297.5198           -379.9537      -356.2734     22674.0731      -231.9618      -231.9045
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5603.4548       398.1518         0.0000         0.0000       952.2126          -4253.0904       302.5096     -5205.3030     -4250.7108       297.4461           -100.6984       -87.0082     23011.5355      -244.1205      -244.1654
