ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      88       236.2998       150.0011         0.0000         0.0000          -5971.8703       804.9177         0.0000         0.0000         0.0000          -4780.6517         0.0000     -4780.6517     -4780.6517         0.0000           2737.1203     -9869.7716     23823.1240      2737.1203     -9869.7716
ENERGY:      89       236.3929       149.9696         0.0000         0.0000          -5973.9497       802.8660         0.0000         0.0000         0.0000          -4784.7211         0.0000     -4784.7211     -4784.7211         0.0000           2696.0451     -9913.2320     23823.1240      2696.0451     -9913.2320
ENERGY:      90       236.4773       149.9445         0.0000         0.0000          -5976.0297       800.9227         0.0000         0.0000         0.0000          -4788.6852         0.0000     -4788.6852     -4788.6852         0.0000           2657.5680     -9954.9494     23823.1240      2657.5680     -9954.9494
ENERGY:      91       236.5749       149.9227         0.0000         0.0000          -5978.1632       799.0535         0.0000         0.0000         0.0000          -4792.6120         0.0000     -4792.6120     -4792.6120         0.0000           2619.3586     -9995.7868     23823.1240      2619.3586     -9995.7868
ENERGY:      92       236.6604       149.9054         0.0000         0.0000          -5980.3510       797.2747         0.0000         0.0000         0.0000          -4796.5104         0.0000     -4796.5104     -4796.5104         0.0000           2583.4783    -10035.6266     23823.1240      2583.4783    -10035.6266
ENERGY:      93       236.7582       149.8913         0.0000         0.0000          -5982.6625       795.5524         0.0000         0.0000         0.0000          -4800.4607         0.0000     -4800.4607     -4800.4607         0.0000           2547.5364    -10075.5459     23823.1240      2547.5364    -10075.5459
ENERGY:      94       236.8436       149.8800         0.0000         0.0000          -5985.1073       793.9057         0.0000         0.0000         0.0000          -4804.4781         0.0000     -4804.4781     -4804.4781         0.0000           2513.5612    -10115.4213     23823.1240      2513.5612    -10115.4213
ENERGY:      95       236.9407       149.8718         0.0000         0.0000          -5987.7564       792.3029         0.0000         0.0000         0.0000          -4808.6411         0.0000     -4808.6411     -4808.6411         0.0000           2479.3115    -10156.3481     23823.1240      2479.3115    -10156.3481
ENERGY:      96       237.0267       149.8641         0.0000         0.0000          -5990.6174       790.7651         0.0000         0.0000         0.0000          -4812.9616         0.0000     -4812.9616     -4812.9616         0.0000           2446.5451    -10198.1414     23823.1240      2446.5451    -10198.1414
ENERGY:      97       237.1241       149.8595         0.0000         0.0000          -5993.7387       789.2650         0.0000         0.0000         0.0000          -4817.4901         0.0000     -4817.4901     -4817.4901         0.0000           2413.4288    -10241.5245     23823.1240      2413.4288    -10241.5245
ENERGY:      98       237.2121       149.8522         0.0000         0.0000          -5997.1024       787.8256         0.0000         0.0000         0.0000          -4822.2125         0.0000     -4822.2125     -4822.2125         0.0000           2381.4214    -10285.9967     23823.1240      2381.4214    -10285.9967
ENERGY:      99       237.3114       149.8479         0.0000         0.0000          -6000.7239       786.4279         0.0000         0.0000         0.0000          -4827.1367         0.0000     -4827.1367     -4827.1367         0.0000           2349.1203    -10331.7744     23823.1240      2349.1203    -10331.7744
ENERGY:     100       237.4035       149.8369         0.0000         0.0000          -6004.5457       785.0973         0.0000         0.0000         0.0000          -4832.2081         0.0000     -4832.2081     -4832.2081         0.0000           1391.8862      2117.8997     23823.1240      1391.8862      2117.8997
ENERGY:     101       237.5071       149.8289         0.0000         0.0000          -6008.5494       783.8277         0.0000         0.0000         0.0000          -4837.3857         0.0000     -4837.3857     -4837.3857         0.0000           1364.1831      2086.0244     23823.1240      1364.1831      2086.0244
ENERGY:     102       237.6068       149.8099         0.0000         0.0000          -6012.6424       782.6465         0.0000         0.0000         0.0000          -4842.5792         0.0000     -4842.5792     -4842.5792         0.0000           1337.8032      2055.1671     23823.1240      1337.8032      2055.1671
ENERGY:     103       237.7191       149.7939         0.0000         0.0000          -6016.7875       781.5663         0.0000         0.0000         0.0000          -4847.7081         0.0000     -4847.7081     -4847.7081         0.0000           1312.0435      2025.7540     23823.1240      1312.0435      2025.7540
ENERGY:     104       237.8319       149.7628         0.0000         0.0000          -6020.8753       780.6114         0.0000         0.0000         0.0000          -4852.6692         0.0000     -4852.6692     -4852.6692         0.0000           1288.4232      1998.5328     23823.1240      1288.4232      1998.5328
ENERGY:     105       237.9591       149.7349         0.0000         0.0000          -6024.8687       779.8190         0.0000         0.0000         0.0000          -4857.3557         0.0000     -4857.3557     -4857.3557         0.0000           1266.2825      1974.2145     23823.1240      1266.2825      1974.2145
ENERGY:     106       238.0906       149.6881         0.0000         0.0000          -6028.6453       779.1963         0.0000         0.0000         0.0000          -4861.6703         0.0000     -4861.6703     -4861.6703         0.0000           1247.5126      1953.2388     23823.1240      1247.5126      1953.2388
ENERGY:     107       238.2394       149.6450         0.0000         0.0000          -6032.1916       778.8169         0.0000         0.0000         0.0000          -4865.4904         0.0000     -4865.4904     -4865.4904         0.0000           1231.2870      1936.6071     23823.1240      1231.2870      1936.6071
ENERGY:     108       238.3951       149.5803         0.0000         0.0000          -6035.3858       778.6434         0.0000         0.0000         0.0000          -4868.7670         0.0000     -4868.7670     -4868.7670         0.0000           1219.5082      1923.9750     23823.1240      1219.5082      1923.9750
ENERGY:     109       238.5729       149.5204         0.0000         0.0000          -6038.2479       778.8098         0.0000         0.0000         0.0000          -4871.3448         0.0000     -4871.3448     -4871.3448         0.0000           1211.5502      1917.1575     23823.1240      1211.5502      1917.1575
ENERGY:     110       238.7588       149.4388         0.0000         0.0000          -6040.6682       779.1887         0.0000         0.0000         0.0000          -4873.2819         0.0000     -4873.2819     -4873.2819         0.0000           1208.7824      1914.5384     23823.1240      1208.7824      1914.5384
ENERGY:     111       238.9742       149.3638         0.0000         0.0000          -6042.7280       780.0091         0.0000         0.0000         0.0000          -4874.3810         0.0000     -4874.3810     -4874.3810         0.0000           1211.0240      1918.9614     23823.1240      1211.0240      1918.9614
