# step Etot Epot T p 
435 -4874.5959 -4874.5959 0.0 1227.5164 
436 -4874.1127 -4874.1127 0.0 1242.5141 
437 -4874.4469 -4874.4469 0.0 1234.2671 
438 -4874.5438 -4874.5438 0.0 1230.7161 
439 -4874.5749 -4874.5749 0.0 1229.0818 
440 -4874.5867 -4874.5867 0.0 1228.2882 
441 -4874.5917 -4874.5917 0.0 1227.898 
442 -4874.5937 -4874.5937 0.0 1227.7096 
443 -4874.595 -4874.595 0.0 1227.6102 
444 -4874.5954 -4874.5954 0.0 1227.5631 
445 -4874.5957 -4874.5957 0.0 1227.5397 
446 -4874.5958 -4874.5958 0.0 1227.528 
447 -4874.112 -4874.112 0.0 1242.5295 
448 -4874.4478 -4874.4478 0.0 1234.239 
449 -4874.5441 -4874.5441 0.0 1230.6993 
450 -4874.575 -4874.575 0.0 1229.0753 
451 -4874.5867 -4874.5867 0.0 1228.2895 
452 -4874.5917 -4874.5917 0.0 1227.9039 
453 -4874.5937 -4874.5937 0.0 1227.718 
454 -4874.5949 -4874.5949 0.0 1227.62 
455 -4874.5953 -4874.5953 0.0 1227.5738 
456 -4874.5956 -4874.5956 0.0 1227.5508 
457 -4874.5957 -4874.5957 0.0 1227.5393 
458 -4874.1114 -4874.1114 0.0 1242.5421 
459 -4874.4488 -4874.4488 0.0 1234.2109 
460 -4874.5445 -4874.5445 0.0 1230.6813 
461 -4874.5751 -4874.5751 0.0 1229.0689 
462 -4874.5867 -4874.5867 0.0 1228.2906 
463 -4874.5916 -4874.5916 0.0 1227.9096 
464 -4874.5935 -4874.5935 0.0 1227.7263 
465 -4874.5945 -4874.5945 0.0 1227.6344 
466 -4874.5952 -4874.5952 0.0 1227.5841 
467 -4874.5954 -4874.5954 0.0 1227.5616 
468 -4874.5956 -4874.5956 0.0 1227.5504 
469 -4874.1108 -4874.1108 0.0 1242.5567 
470 -4874.4497 -4874.4497 0.0 1234.1828 
471 -4874.5449 -4874.5449 0.0 1230.6633 
472 -4874.5753 -4874.5753 0.0 1229.0624 
473 -4874.5867 -4874.5867 0.0 1228.2917 
474 -4874.5915 -4874.5915 0.0 1227.9151 
475 -4874.5935 -4874.5935 0.0 1227.7342 
476 -4874.5944 -4874.5944 0.0 1227.6438 
477 -4874.5951 -4874.5951 0.0 1227.5943 
478 -4874.5953 -4874.5953 0.0 1227.5722 
479 -4874.5955 -4874.5955 0.0 1227.5612 
480 -4874.1102 -4874.1102 0.0 1242.571 
481 -4874.4506 -4874.4506 0.0 1234.1546 
